Accession,Name
A0A024RAL6,MEF2C
A0A024RAL7,MEF2C
A0A0D9SET2,MEF2C
A0A0D9SFD0,MEF2C
A0A0D9SFV9,MEF2C
A0A0D9SG58,MEF2C
A0A0D9SGF3,MEF2C
A0A0D9SGI5,MEF2C
A0A0R4J2G5,MEF2C
A0A1B0GTW4,MEF2C
A0A1B0GV32,MEF2C
A0A1B0GVI4,MEF2C
D6R942,MEF2C
D6RB91,MEF2C
D6RC63,MEF2C
D6RCM6,MEF2C
D6RG14,MEF2C
D6RG21,MEF2C
D6RJ95,MEF2C
D6RJA7,MEF2C
D6RJG6,MEF2C
D8L7E9,MEF2C
Q06413,MEF2C
A0A024R7K5,MEF2B
A0A024R7N0,MEF2B
B3KQ23,MEF2B
B8ZZJ5,MEF2B
C9J4J4,MEF2B
Q02080,MEF2B
A0A0S2Z417,MEF2A
A0A0S2Z453,MEF2A
A0A0S2Z454,MEF2A
A0A0S2Z4C8,MEF2A
A0A0S2Z4N0,MEF2A
H0YKY6,MEF2A
H0YM62,MEF2A
H0YNI2,MEF2A
L0R504,MEF2A
Q02078,MEF2A
Q8N8C0,ZNF781
A0A024QZM0,ASCC1
E9PJM2,ASCC1
E9PKM6,ASCC1
E9PL92,ASCC1
E9PM82,ASCC1
E9PQ44,ASCC1
E9PQZ6,ASCC1
E9PR40,ASCC1
H0YCB3,ASCC1
H0YE76,ASCC1
H0YE79,ASCC1
H0YER2,ASCC1
Q8N9N2,ASCC1
C9J9Y8,ZNF782
F8WEU9,ZNF782
Q6ZMW2,ZNF782
A0A1W2PRM4,RORC
A0A2K9REZ7,RORC
D3DV25,RORC
P51449,RORC
Q6I9R9,RORC
A0A1L4FMK7,RORB
Q58EY0,RORB
Q92753,RORB
A0A087X2G0,RORA
A0A0C4DFP5,RORA
A0A0C4DG53,RORA
H0YII6,RORA
H0YLS5,RORA
P35398,RORA
A0A1B0GUU9,IGHM
A2N7P4,IGHM
P01871,IGHM
E9PQI8,SART1
O43290,SART1
Q06187,BTK
Q572P0,BTK
Q572P1,BTK
Q572P2,BTK
Q572P3,BTK
Q572P4,BTK
Q572P5,BTK
